genid,id,name,cpu,mem,memperc,netin,netout,blockin,blockout,image,detuser,ip,date
030bfb13-607e-45f1-be02-84b7d6ac20f2,1c2e250005e4,pensive_nobel,0.01,2.4327e+08,0.73,1.30023e+08,3.25059e+07,3.10378e+08,6.50117e+07,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clariadna,172.27.40.102,2024-04-23 20:52:49
7855b5d1-4bae-4a0e-ae35-500d890afa8a,f9e7b2212f7d,dazzling_maxwell,0.13,6.44245e+09,20.21,2.63193e+08,6.08174e+07,4.84442e+08,1.67772e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clchristina,172.27.40.102,2024-04-23 20:52:49
d38234b2-7684-49c5-b42e-84b9fb9639a3,5049f6c48abb,recursing_cori,0.01,6.44245e+09,5.05,1.60432e+08,2.30687e+07,4.75005e+08,6.50117e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clcarlos,172.27.40.109,2024-04-23 20:52:54
f8abb696-71c8-4a1c-a853-d4876fa6eaee,23093d2fe9c7,frosty_lovelace,2.51,1.07374e+09,1.38,9.33233e+07,6.08174e+07,7.70703e+08,1.04858e+06,harbor.vhio.net/determine/srtools:0.24.4,clcarlos,172.27.40.109,2024-04-23 20:52:54
8ed627a7-28e7-4367-b8f2-d2aa91a51b3f,009b31303ad0,brave_dhawan,446.52,1.15964e+11,86.13,4.1943e+06,1.25829e+07,7.5812e+08,1.07374e+09,harbor.vhio.net/determine/custom_gpu:0.24.1.3,clbernat,172.27.40.111,2024-04-23 20:53:39
d661d4a0-98fb-4eb1-b59f-72ac4006b5ad,81748903fe57,funny_ishizaka,0.12,1.01712e+08,0.08,5.22191e+08,6.9206e+07,9.88807e+08,2.14748e+09,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clolivia,172.27.40.111,2024-04-23 20:53:39
0e44a735-9a2d-4e3b-b06c-84b040da9c58,855999a48d19,intelligent_napier,0.69,3.50224e+08,0.26,1.07374e+10,1.1489e+11,3.22123e+09,4.29497e+09,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clbernat,172.27.40.111,2024-04-23 20:53:39
9d3c6a40-e67d-42f9-a5b4-d4e4a3dd77b6,8dcd67312969,nifty_rosalind,1.83,5.36871e+09,4.72,2.55853e+08,3.51273e+08,1.22683e+08,7.1408e+08,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,cldaniel,172.27.40.106,2024-04-23 20:53:44
96ddd6c6-6519-4545-a6d2-13e9539191c9,ec57bac4e511,ecstatic_ride,0.07,2.17055e+08,0.65,7.6546e+07,5.24288e+06,1.36315e+08,1.04858e+06,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clhumaira,172.27.40.102,2024-04-23 20:53:52
1034d37d-1887-4b91-88e7-b598d0c72235,5e1d18f2d053,objective_black,0.85,6.28097e+08,1.88,9.43718e+07,9.01775e+07,2.01327e+08,2.7263e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clalonsogarcia,172.27.40.102,2024-04-23 20:53:52
0cf4f8e4-445f-428f-9152-eda754e2b07c,db2514bd2f7c,pensive_kapitsa,0.39,1.07374e+09,3.46,3.28204e+08,1.04438e+09,3.3135e+08,1.66724e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,cladria,172.27.40.102,2024-04-23 20:53:52
7e0af114-c5aa-4db6-8878-aef5a9f0e6b5,1c2e250005e4,pensive_nobel,0.01,2.4327e+08,0.73,1.30023e+08,3.25059e+07,3.10378e+08,6.50117e+07,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clariadna,172.27.40.102,2024-04-23 20:53:52
1e05d739-cf03-4ac4-9008-310dbf78007f,f9e7b2212f7d,dazzling_maxwell,0.23,6.44245e+09,20.21,2.63193e+08,6.08174e+07,4.84442e+08,1.67772e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clchristina,172.27.40.102,2024-04-23 20:53:52
